PFco_Code,segment,risk_category,priority,action,current_stock_kg,predicted_need_kg,safety_stock_kg,restock_qty_kg,turnover_ratio,stockout_pct,overstock_pct,suggestion
1357,slow moving,overstock,RENDAH,KURANGI STOK,294.11,0.0,76.58,0.0,1.1,0.0,0.0,Stok berlebih (294 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1359,slow moving,overstock,RENDAH,KURANGI STOK,13.72,0.0,9.14,0.0,0.55,0.0,0.0,Stok berlebih (14 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1361,slow moving,overstock,RENDAH,KURANGI STOK,195.73,0.0,66.11,0.0,0.49,0.0,0.0,Stok berlebih (196 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1362,slow moving,overstock,RENDAH,KURANGI STOK,64.09,0.0,12.76,0.0,0.73,0.0,0.0,Stok berlebih (64 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1363,slow moving,overstock,RENDAH,KURANGI STOK,49.1,0.0,37.15,0.0,0.23,0.0,0.0,Stok berlebih (49 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1364,slow moving,understock,RENDAH,TAMBAH STOK SEGERA,26.16,53.13,26.71,53.68,0.64,0.0,2.56,Stok kurang (26 Kg vs kebutuhan 53 Kg). Segera restock minimal 27 Kg + safety stock 27 Kg.
1366,slow moving,overstock,RENDAH,KURANGI STOK,56.85,0.0,37.31,0.0,0.5,3.03,0.0,Stok berlebih (57 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1370,slow moving,overstock,RENDAH,KURANGI STOK,25.93,0.0,10.86,0.0,0.24,0.0,3.85,Stok berlebih (26 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1371,slow moving,overstock,RENDAH,KURANGI STOK,21.74,0.0,22.69,0.0,0.2,0.0,0.0,Stok berlebih (22 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1372,slow moving,overstock,RENDAH,KURANGI STOK,119.0,0.0,51.04,0.0,0.72,0.0,0.0,Stok berlebih (119 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1373,slow moving,overstock,RENDAH,KURANGI STOK,117.78,0.0,341.36,0.0,0.63,14.29,0.0,Stok berlebih (118 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1400,fast moving,optimal,TINGGI,PERTAHANKAN,10565.46,9564.3,1753.43,9564.3,0.98,4.65,25.58,Stok dalam kondisi optimal (10565 Kg). Pertahankan pola restocking saat ini.
1401,slow moving,overstock,RENDAH,KURANGI STOK,91.3,0.0,84.55,0.0,0.45,6.67,0.0,Stok berlebih (91 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1402,slow moving,understock,RENDAH,TAMBAH STOK SEGERA,4.05,800.0,48.22,844.17,0.75,5.26,0.0,Stok kurang (4 Kg vs kebutuhan 800 Kg). Segera restock minimal 796 Kg + safety stock 48 Kg.
1403,slow moving,overstock,RENDAH,KURANGI STOK,7.86,0.0,3.07,0.0,0.4,0.0,0.0,Stok berlebih (8 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1405,medium moving,understock,TINGGI,TAMBAH STOK SEGERA,69.54,46.81,30.06,30.06,1.44,32.35,0.0,Stok kurang (70 Kg vs kebutuhan 47 Kg). Segera restock minimal 0 Kg + safety stock 30 Kg.
1408,slow moving,optimal,RENDAH,PERTAHANKAN,58.48,60.15,16.82,60.15,0.35,0.0,13.33,Stok dalam kondisi optimal (58 Kg). Pertahankan pola restocking saat ini.
1410,slow moving,overstock,RENDAH,KURANGI STOK,6.51,0.0,1.44,0.0,0.77,0.0,0.0,Stok berlebih (7 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1416,slow moving,overstock,RENDAH,KURANGI STOK,39.97,0.0,6.08,0.0,0.4,0.0,100.0,Stok berlebih (40 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1417,slow moving,overstock,RENDAH,KURANGI STOK,80.42,0.0,29.47,0.0,1.12,0.0,0.0,Stok berlebih (80 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2004,fast moving,understock,KRITIS,TAMBAH STOK SEGERA,4221.22,22475.97,2154.02,20408.77,0.85,2.33,2.33,Stok kurang (4221 Kg vs kebutuhan 22476 Kg). Segera restock minimal 18255 Kg + safety stock 2154 Kg.
2005,slow moving,overstock,RENDAH,KURANGI STOK,769.46,0.0,294.1,0.0,1.23,0.0,0.0,Stok berlebih (769 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2016,fast moving,overstock,TINGGI,KURANGI STOK,34853.55,22120.47,4255.24,0.0,0.71,9.52,45.24,Stok berlebih (34854 Kg vs kebutuhan 22120 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2018,slow moving,overstock,RENDAH,KURANGI STOK,1241.01,0.0,561.74,0.0,0.26,0.0,0.0,Stok berlebih (1241 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2019,slow moving,overstock,RENDAH,KURANGI STOK,1442.68,0.0,347.47,0.0,0.69,0.0,0.0,Stok berlebih (1443 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
2028,slow moving,overstock,RENDAH,KURANGI STOK,762.79,0.0,323.91,0.0,1.31,0.0,0.0,Stok berlebih (763 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
